"ID","WCAG SC","Level","Task","Main Role","Primary Ownership","Secondary Ownership","Contributor","Status"
"IMG-003","1.1.1","A","Purely decorative images are provided with null alt attribute values (or other equivalent means).","Development","Front-End Development","Content Authoring","none","Requirement"
"IMG-004","1.1.1","A","Null alt attribute values are used for images that are already described in text in adjacent page content.","Development","Front-End Development","Content Authoring","none","Requirement"
"IMG-005","1.1.1","A","Adjacent linked images and text links pointing the same URL are combined into single links.","Development","Front-End Development","User Experience (UX) Design","none","Best Practice"
"IMG-007","1.1.1","A","Informative images are marked up as foreground images, and not embedded as part of the CSS.","Development","Front-End Development","Content Authoring","none","Best Practice"
"IMG-009","1.1.1","A","The purpose or function of complex images is conveyed using a text description, via an alt attribute.","Development","Front-End Development","Content Authoring","User Experience (UX) Design","Best Practice"
"IMG-012","1.1.1","A","The full explanation of complex images is provided through the longdesc attribute (or other equivalent means).","Development","Front-End Development","none","none","Requirement"
"IMG-015","1.1.1","A","Text alternatives of dynamically updated images are simultaneously updated as the images change.","Development","Front-End Development","User Experience (UX) Design","Content Authoring","Requirement"
"IMG-020","1.4.5","AA","Text that is placed on top of an image is handled semantically through HTML and CSS instead.","Development","Front-End Development","User Experience (UX) Design","none","Best Practice"
"SEM-001","1.3.1","A","Informative content is provided through HTML markup.","Development","Front-End Development","User Experience (UX) Design, Content Authoring","none","Requirement"
"SEM-002","1.3.1","A","HTML elements are used according to the HTML specification.","Development","Front-End Development","User Experience (UX) Design","none","Requirement"
"SEM-003","1.3.1","A","Navigation groupings are marked up using HTML list or nav elements (or other equivalent means).","Development","Front-End Development","User Experience (UX) Design","none","Requirement"
"SEM-004","1.3.1","A","Header sections are marked up using HTML header elements (or other equivalent means).","Development","Front-End Development","User Experience (UX) Design","none","Best Practice"
"SEM-005","1.3.1","A","The main section of a page is marked up using a HTML main element (or other equivalent means).","Development","Front-End Development","User Experience (UX) Design","none","Best Practice"
"SEM-006","1.3.1","A","The footer of the page is marked up using a HTML footer element (or other equivalent means).","Development","Front-End Development","User Experience (UX) Design","none","Best Practice"
"SEM-007","1.3.1","A","Content that is complementary to the main section is marked up using HTML aside elements (or other equivalent means).","Development","Front-End Development","User Experience (UX) Design","none","Best Practice"
"SEM-008","1.3.1","A","HTML elements are used based on the semantics they provide, not based on what they look like.","Development","Front-End Development","User Experience (UX) Design","none","Requirement"
"SEM-009","1.3.1","A","Decorative elements are embedded through the CSS presentation layer (or other equivalent means).","Development","Front-End Development","Content Authoring","none","Best Practice"
"SEM-010","1.3.1","A","All scripting behaviors are handled through JavaScript.","Development","Front-End Development","none","none","Best Practice"
"SEM-011","1.3.1","A","Elements that act as headings are marked up as such.","Development","Front-End Development","User Experience (UX) Design","none","Requirement"
"SEM-013","1.3.1","A","Headings are marked up using h1 to h6 elements or other equivalent means.","Development","Front-End Development","User Experience (UX) Design, Content Authoring","none","Best Practice"
